token,frequency,total,idf
the,37,37,0.0
to,36,37,0.027398974188114347
is,36,37,0.027398974188114347
in,36,37,0.027398974188114347
of,36,37,0.027398974188114347
a,35,37,0.055569851154810786
and,35,37,0.055569851154810786
with,34,37,0.08455738802806297
also,34,37,0.08455738802806297
by,34,37,0.08455738802806297
was,34,37,0.08455738802806297
on,34,37,0.08455738802806297
from,34,37,0.08455738802806297
for,33,37,0.11441035117774412
an,33,37,0.11441035117774412
as,33,37,0.11441035117774412
this,33,37,0.11441035117774412
that,33,37,0.11441035117774412
it,33,37,0.11441035117774412
which,33,37,0.11441035117774412
has,32,37,0.1451820098444979
's,32,37,0.1451820098444979
at,32,37,0.1451820098444979
other,32,37,0.1451820098444979
one,31,37,0.17693070815907824
its,31,37,0.17693070815907824
not,31,37,0.17693070815907824
were,31,37,0.17693070815907824
have,31,37,0.17693070815907824
but,31,37,0.17693070815907824
or,31,37,0.17693070815907824
are,31,37,0.17693070815907824
they,30,37,0.2097205309820691
most,30,37,0.2097205309820691
may,29,37,0.2436220826577505
first,29,37,0.2436220826577505
two,29,37,0.2436220826577505
when,29,37,0.2436220826577505
there,29,37,0.2436220826577505
all,29,37,0.2436220826577505
their,29,37,0.2436220826577505
had,28,37,0.2787134024690205
time,28,37,0.2787134024690205
such,28,37,0.2787134024690205
more,28,37,0.2787134024690205
be,28,37,0.2787134024690205
can,28,37,0.2787134024690205
both,28,37,0.2787134024690205
while,28,37,0.2787134024690205
some,28,37,0.2787134024690205
including,28,37,0.2787134024690205
over,28,37,0.2787134024690205
however,28,37,0.2787134024690205
been,28,37,0.2787134024690205
states,27,37,0.31508104663989545
into,27,37,0.31508104663989545
after,27,37,0.31508104663989545
than,27,37,0.31508104663989545
between,27,37,0.31508104663989545
these,27,37,0.31508104663989545
early,27,37,0.31508104663989545
used,27,37,0.31508104663989545
where,27,37,0.31508104663989545
about,27,37,0.31508104663989545
would,27,37,0.31508104663989545
no,27,37,0.31508104663989545
years,26,37,0.35282137462274243
many,26,37,0.35282137462274243
work,26,37,0.35282137462274243
since,26,37,0.35282137462274243
during,26,37,0.35282137462274243
different,26,37,0.35282137462274243
same,26,37,0.35282137462274243
each,26,37,0.35282137462274243
called,26,37,0.35282137462274243
who,26,37,0.35282137462274243
because,26,37,0.35282137462274243
much,25,37,0.3920420877760237
so,25,37,0.3920420877760237
number,25,37,0.3920420877760237
them,25,37,0.3920420877760237
based,25,37,0.3920420877760237
he,25,37,0.3920420877760237
new,25,37,0.3920420877760237
among,25,37,0.3920420877760237
then,25,37,0.3920420877760237
through,25,37,0.3920420877760237
often,25,37,0.3920420877760237
several,25,37,0.3920420877760237
his,25,37,0.3920420877760237
use,25,37,0.3920420877760237
united,25,37,0.3920420877760237
following,24,37,0.4328640822962789
only,24,37,0.4328640822962789
before,24,37,0.4328640822962789
three,24,37,0.4328640822962789
part,24,37,0.4328640822962789
although,24,37,0.4328640822962789
few,24,37,0.4328640822962789
out,24,37,0.4328640822962789
own,24,37,0.4328640822962789
made,24,37,0.4328640822962789
being,23,37,0.4754236967150748
world,23,37,0.4754236967150748
found,23,37,0.4754236967150748
become,23,37,0.4754236967150748
very,23,37,0.4754236967150748
began,23,37,0.4754236967150748
well,23,37,0.4754236967150748
if,23,37,0.4754236967150748
form,23,37,0.4754236967150748
almost,23,37,0.4754236967150748
like,23,37,0.4754236967150748
under,23,37,0.4754236967150748
any,23,37,0.4754236967150748
later,23,37,0.4754236967150748
known,23,37,0.4754236967150748
include,23,37,0.4754236967150748
major,22,37,0.5198754592859086
order,22,37,0.5198754592859086
still,22,37,0.5198754592859086
using,22,37,0.5198754592859086
even,22,37,0.5198754592859086
especially,22,37,0.5198754592859086
according,22,37,0.5198754592859086
those,22,37,0.5198754592859086
common,22,37,0.5198754592859086
name,22,37,0.5198754592859086
various,22,37,0.5198754592859086
will,22,37,0.5198754592859086
people,21,37,0.5663954749208014
up,21,37,0.5663954749208014
could,21,37,0.5663954749208014
system,21,37,0.5663954749208014
another,21,37,0.5663954749208014
do,21,37,0.5663954749208014
modern,21,37,0.5663954749208014
against,21,37,0.5663954749208014
make,21,37,0.5663954749208014
did,21,37,0.5663954749208014
important,21,37,0.5663954749208014
others,21,37,0.5663954749208014
term,21,37,0.5663954749208014
given,21,37,0.5663954749208014
four,20,37,0.6151856390902335
example,20,37,0.6151856390902335
life,20,37,0.6151856390902335
around,20,37,0.6151856390902335
certain,20,37,0.6151856390902335
set,20,37,0.6151856390902335
led,20,37,0.6151856390902335
does,20,37,0.6151856390902335
study,20,37,0.6151856390902335
way,20,37,0.6151856390902335
history,20,37,0.6151856390902335
american,20,37,0.6151856390902335
along,20,37,0.6151856390902335
making,20,37,0.6151856390902335
within,20,37,0.6151856390902335
general,20,37,0.6151856390902335
particular,20,37,0.6151856390902335
late,20,37,0.6151856390902335
century,20,37,0.6151856390902335
must,20,37,0.6151856390902335
place,20,37,0.6151856390902335
considered,20,37,0.6151856390902335
what,20,37,0.6151856390902335
became,20,37,0.6151856390902335
long,20,37,0.6151856390902335
last,20,37,0.6151856390902335
best,19,37,0.666478933477784
single,19,37,0.666478933477784
original,19,37,0.666478933477784
contrast,19,37,0.666478933477784
less,19,37,0.666478933477784
usually,19,37,0.666478933477784
now,19,37,0.666478933477784
just,19,37,0.666478933477784
generally,19,37,0.666478933477784
meaning,19,37,0.666478933477784
published,19,37,0.666478933477784
back,19,37,0.666478933477784
named,19,37,0.666478933477784
national,19,37,0.666478933477784
times,19,37,0.666478933477784
already,19,37,0.666478933477784
took,19,37,0.666478933477784
case,19,37,0.666478933477784
without,19,37,0.666478933477784
due,19,37,0.666478933477784
once,19,37,0.666478933477784
second,18,37,0.7205461547480596
how,18,37,0.7205461547480596
result,18,37,0.7205461547480596
old,18,37,0.7205461547480596
current,18,37,0.7205461547480596
sometimes,18,37,0.7205461547480596
age,18,37,0.7205461547480596
great,18,37,0.7205461547480596
should,18,37,0.7205461547480596
upon,18,37,0.7205461547480596
change,18,37,0.7205461547480596
year,18,37,0.7205461547480596
developed,18,37,0.7205461547480596
family,18,37,0.7205461547480596
held,18,37,0.7205461547480596
similar,18,37,0.7205461547480596
international,18,37,0.7205461547480596
main,18,37,0.7205461547480596
either,18,37,0.7205461547480596
public,18,37,0.7205461547480596
introduced,18,37,0.7205461547480596
every,18,37,0.7205461547480596
state,18,37,0.7205461547480596
period,18,37,0.7205461547480596
rather,18,37,0.7205461547480596
until,17,37,0.7777045685880083
natural,17,37,0.7777045685880083
having,17,37,0.7777045685880083
high,17,37,0.7777045685880083
five,17,37,0.7777045685880083
we,17,37,0.7777045685880083
area,17,37,0.7777045685880083
means,17,37,0.7777045685880083
addition,17,37,0.7777045685880083
better,17,37,0.7777045685880083
left,17,37,0.7777045685880083
group,17,37,0.7777045685880083
language,17,37,0.7777045685880083
little,17,37,0.7777045685880083
further,17,37,0.7777045685880083
throughout,17,37,0.7777045685880083
day,17,37,0.7777045685880083
thought,17,37,0.7777045685880083
end,17,37,0.7777045685880083
outside,17,37,0.7777045685880083
traditional,17,37,0.7777045685880083
instead,17,37,0.7777045685880083
local,17,37,0.7777045685880083
present,17,37,0.7777045685880083
series,16,37,0.8383291904044432
possible,16,37,0.8383291904044432
take,16,37,0.8383291904044432
former,16,37,0.8383291904044432
social,16,37,0.8383291904044432
stated,16,37,0.8383291904044432
whole,16,37,0.8383291904044432
defined,16,37,0.8383291904044432
involved,16,37,0.8383291904044432
eventually,16,37,0.8383291904044432
terms,16,37,0.8383291904044432
described,16,37,0.8383291904044432
working,16,37,0.8383291904044432
himself,16,37,0.8383291904044432
able,16,37,0.8383291904044432
parts,16,37,0.8383291904044432
i,16,37,0.8383291904044432
whose,16,37,0.8383291904044432
third,16,37,0.8383291904044432
said,16,37,0.8383291904044432
down,16,37,0.8383291904044432
living,16,37,0.8383291904044432
film,16,37,0.8383291904044432
field,16,37,0.8383291904044432
middle,16,37,0.8383291904044432
beginning,16,37,0.8383291904044432
significant,16,37,0.8383291904044432
point,16,37,0.8383291904044432
itself,16,37,0.8383291904044432
themselves,16,37,0.8383291904044432
limited,16,37,0.8383291904044432
large,16,37,0.8383291904044432
